Serial Number,Course Name,Course Code,Course Acronym,Prerequisites,Preferable Prerequisites,Antirequisites,Semester,Professor,Credits,Cluster
1,Foundations of Biology,BIO101,FOB,None,None,None,Winter,,4,BIO
2,Introduction to Quantitative Biology,BIO213,IQB,None,None,None,Winter,,4,BIO
3,Genetics and Molecular Biology,BIO2GMB,GMB,None,None,None,Monsoon,Gaurav Ahuja,4,BIO
4,Cell Biology and Bio-Chemistry,BIO501,CBB,None,None,None,Monsoon,Arjun Ray,4,BIO
5,Stochastic Simulations in Systems Biology and Biophysics,BIO506,SSSBB,BIO531,None,None,Monsoon,,4,BIO
6,Foundations of Modern Biology,BIO512,FOMB,None,None,BIO601,Monsoon,Vibhor Kumar,4,BIO
7,Practical Bioinformatics,BIO521,PB,None,CSE102,None,Monsoon,,4,BIO
8,Algorithms in Computational Biology,BIO522,ACB,None,None,None,Monsoon,,4,BIO
9,Chemoinformatics,BIO523,ChemInfo,None,None,None,Winter,,4,BIO
10,Introduction to Mathematical Biology,BIO531,IMB,MTH100,"Molecular biology and biochemistry, cell biology",BIO303/BIO503,Winter,,4,BIO
11,Network Biology,BIO532,NB,None,CSE102,None,Monsoon,Ganesh Bagler,4,BIO
12,Systems and Synthetic Biology,BIO533,S&SB,"""BIO531,BIO501""",MTH201,None,Winter,Sriram K,4,BIO
13,Introduction to Computational Neuroscience,BIO534,ICN,None,"Calculus, linear algebra and ODE/PDE and coding in MATLAB",None,Winter,,,BIO
14,Data Sciences and Genomics,BIO541,DSG,None,None,None,Winter,Vibhor Kumar,4,BIO
15,Machine Learning and Biomedical Applications,BIO542,MLBA,None,None,None,Monsoon,GPS Raghava,4,BIO
16,Big Data Mining in Healthcare,BIO543,BDMH,None,None,None,Winter,GPS Raghava,4,BIO
17,Computational Gastronomy,BIO544,CG,None,"A good command on programming (Python) and data analysis. Exposure to statistical analysis, data visualization, machine learning and natural language processing.",None,Monsoon,,4,BIO
18,Biostatistics,BIO545,BioStats,None,Basic Biology Knowledge,None,Winter,,4,BIO
19,Computer Aided Drug Design,BIO561,CADD,None,"Basic knowledge of biology, chemistry, physics and python",None,Winter,,4,BIO
20,Network Science,BIO571,NS,None,CSE102,None,Winter,,4,BIO
21,Communication Skills,COM101,COM,None,None,None,Monsoon,"""Payel C Mukherjee, Rekha Shorey, Honey Jhalani, Utkrishti Taneja, Syeda Asia, Deepti Sharma, Devika N""",4,OTHERS
22,Technical Communication,COM301A,TCOM,None,None,None,Monsoon,,2,OTHERS
23,Introduction to Programming,CSE101,IP,None,None,None,Monsoon,"""Vikram Goyal, V Raghava Mutharaju""",4,CSE
24,Data Structures & Algorithms,CSE102,DSA,CSE101,None,None,Winter,"Rahul Purandare, Arun Balaji",4,CSE
25,Computer Organization,CSE112,CO,"""ECE111""",None,None,Monsoon,Naveen Prakash(V),4,CSE
26,Discrete Mathematics,CSE121,DM,None,None,None,Monsoon,Samrith Ram,4,CSE
27,Systems Management,CSE131,SM,None,None,None,Monsoon,,4,CSE
28,Advanced Programming,CSE201,AP,"""CSE101, CSE102""",None,None,Monsoon,Vivek Kumar,4,CSE
29,Fundamentals of Database Management System,CSE202,DBMS,"""CSE102""",None,None,Winter,,4,CSE
30,Algorithm Design and Analysis,CSE222,ADA,"""CSE102""",None,None,Winter,Rajiv Raman,4,CSE
31,Operating Systems,CSE231,OS,CSE102,None,None,Winter,,4,CSE
32,Computer Networks,CSE232,CN,"""CSE101, CSE231, CSE222""",None,None,Monsoon,,4,CSE
33,Network Administration,CSE233,NAdmn,None,CSE230,None,Winter,,2,CSE
34,Computer Architecture and Operating Systems,CSE234,CAOS,None,Programming,None,Monsoon/Winter,Sambuddho Chakravarty,4,CSE
35,Compilers,CSE301/CSE601,CMP,"""MTH100, CSE101, CSE201, CSE102""",None,None,Monsoon,Piyus Kedia,4,CSE
36,Modern Algorithm Design,CSE319/CSE519,MAD,CSE222,None,None,Monsoon,Syamantak Das,4,CSE
