nodes__data__id,name,edges__data__id,edges__data__source,edges__data__target
1,BIO101,57,5,7
2,BIO213,2122,21,22
3,BIO2GMB,2126,21,26
4,BIO301/BIO501,2226,22,26
5,BIO303/BIO503,2227,22,27
6,BIO501,2228,22,28
7,BIO506,2529,25,29
8,BIO512,2230,22,30
9,BIO521,2131,21,31
10,BIO522,3031,30,31
11,BIO523,2831,28,31
12,BIO532,18035,180,35
13,BIO533,2135,21,35
14,BIO534,2635,26,35
15,BIO541,2235,22,35
16,BIO542,2838,28,38
17,BIO543,2239,22,39
18,BIO571,2440,24,40
19,COM101,2141,21,41
20,COM301A,2142,21,42
21,CSE101,18242,182,42
22,CSE102,18243,182,43
23,CSE112,18044,180,44
24,CSE121,18244,182,44
25,CSE131,2144,21,44
26,CSE201,18344,183,44
27,CSE202,18045,180,45
28,CSE222,2151,21,51
29,CSE230,2251,22,51
30,CSE231,2651,26,51
31,CSE232,2252,22,52
32,CSE233,2652,26,52
33,CSE234,2753,27,53
34,CSE300,2153,21,53
35,CSE301/CSE601,18053,180,53
36,CSE304,18253,182,53
37,CSE312,2754,27,54
38,CSE319/CSE519,2254,22,54
39,CSE320/CSE520,2255,22,55
40,CSE322,2655,26,55
41,CSE333/CSE533,2755,27,55
42,CSE342,2756,27,56
43,CSE342/CSE542,2858,28,58
44,CSE343/CSE543,2458,24,58
45,CSE344/CSE544/ ECE344/ECE544,18258,182,58
46,CSE345/CSE545,2860,28,60
47,CSE421/CSE621,2862,28,62
48,CSE440,2165,21,65
49,CSE441/CSE541,3166,31,66
50,CSE501,2467,24,67
51,CSE502,2168,21,68
52,CSE503,3069,30,69
53,CSE506,2171,21,71
54,CSE507,2872,28,72
55,CSE508,2172,21,72
56,CSE510,18272,182,72
57,CSE511/ECE511,2173,21,73
58,CSE523,18274,182,74
59,CSE524,18277,182,77
60,CSE525,3178,31,78
61,CSE528/ECE528,2283,22,83
62,CSE529,2185,21,85
63,CSE530,2285,22,85
64,CSE531,2685,26,85
65,CSE535,2186,21,86
66,CSE538/ECE538,2790,27,90
67,CSE546,18291,182,91
68,CSE551,18092,180,92
69,CSE552,2194,21,94
70,CSE555,2794,27,94
71,CSE558,18296,182,96
72,CSE559,18097,180,97
73,CSE560,18299,182,99
74,CSE561,4299,42,99
75,CSE562,22100,22,100
76,CSE563,133101,133,101
77,CSE564,30102,30,102
78,CSE565,21106,21,106
79,CSE570,120106,120,106
80,CSE571,25106,25,106
81,CSE576,105108,105,108
82,CSE577,182117,182,117
83,CSE580A,120122,120,122
84,CSE582,121122,121,122
85,CSE5AC,106122,106,122
86,CSE5GP,180124,180,124
87,CSE5SD,126125,126,125
88,CSE5TAC,182125,182,125
